Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/21/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.1,2,12,9.9,5.9,4.9,3.9,3.9,,,,,,,
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.5,4.3,6.6,,,,,
Angola,AGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,10.5,,,,,9.6,,
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.685551759,7.967623178,49.87221458,18.60971466,16.14202377,,,,,,5,3.1,3.5,3.1,2.9,4.4,4.9,5.5,4.3,4,2.3,,
Andorra,AND,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,0,1.2,1.2,1.2,1.2,0,0,0,0,,
Arab World,ARB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,4.2,3.8,,
United Arab Emirates,ARE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.8,0.6,0.7,0.7,,
Argentina,ARG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.812329652,8.504521183,9.141835337,7.21468335,7.301381688,,,,,,,,,,,,,,,7.5,6.5,,
Armenia,ARM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.598938065,3.59373744,3.189959539,2.991218362,2.912033298,,,,,2.7,1.9,2.6,2.6,3.3,3.3,1.9,2.4,2.2,2,2.4,2.5,,
American Samoa,ASM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,8.9,6.2,6.2,4.9,3.6,13.2,20.1,18.7,18.5,6.9,,11.2,,,,,
Australia,AUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799274285,1.703090514,1.732779211,1.52122688,1.810227564,1.9,1.8,1.9,1.7,1.5,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,,
Austria,AUT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.033315087,1.243646099,0.827944066,0.965382027,0.751437688,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,,
Azerbaijan,AZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2,1.9,1.8,2.1,,2.2,2.3,2.5,,,
Burundi,BDI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.1,3.7,3.6,4.5,4,4,,,
Belgium,BEL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.9,1.8,1.9,1.9,,
Benin,BEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6.4,,,,,6,,
Burkina Faso,BFA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.8,0.9,0.6,0.6,0.6,0.7,,,,,
Bangladesh,BGD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.7,2.6,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,2.6,2.6,2.8,2.8,2.5,,
Bulgaria,BGR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.911478128,5.294323917,4.854837907,4.686183164,4.053530904,,,,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,,
Bahrain,BHR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.1,0.4,0.9,0.5,0.7,0.4,0.5,1.1,0.9,0.5,,,,,,
"Bahamas, The",BHS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,,,,,
Bosnia and Herzegovina,BIH,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.5,1.3,1.6,1.2,1.3,1.5,,
Belarus,BLR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.343764998,9.468630233,10.00550548,10.19945145,9.636391446,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5,5.1,3.9,3.6,3.5,3.6,,,
Belize,BLZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,25.1,33.2,24.9,28.6,28.6,31.6,32.5,33.6,61.8,40.1,37.7,43.1,28.8,34.4,,,
Bermuda,BMU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.482877101,3.226326827,0,3.197186476,0,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4,6.5,,
Bolivia,BOL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.4,8.3,8.9,8.6,10.6,10.2,12.4,,,,,
Brazil,BRA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,23.6,22.6,21.8,24,26.2,26.5,27.7,26.7,,
Barbados,BRB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.520465066,8.622046949,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.8,9,6.8,11.1,9.6,7.8,8.5,8.8,10.9,,
Brunei Darussalam,BRN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.6,0.8,0.8,0.3,0.8,0.3,,,0.5,,,,
Bhutan,BTN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.4,1.9,3,3.9,2.5,2.7,,,
Botswana,BWA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,14.3,17.2,14.1,15.6,13.8,14.5,14.3,14.4,14.8,10.5,,,,,,
Central African Republic,CAF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,13.6,,,,,13.1,,
Canada,CAN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.836046382,1.943734991,1.752079598,1.680283159,1.586370484,1.6,1.8,1.7,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5,1.7,,
Central Europe and the Baltics,CEB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.3,1.3,,
Switzerland,CHE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.168307188,1.175477056,1.226996807,1.068474,1.247067989,0.96,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,,
Channel Islands,CHI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,3.6,,,
China,CHN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,,,
Cote d'Ivoire,CIV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,12.8,,,,,11.8,,
Cameroon,CMR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.4,4.9,3.4,4,2.9,2.6,5.9,,
"Congo, Dem. Rep.",COD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,14,,,,,13.4,,
"Congo, Rep.",COG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,10.6,,,,,10.1,,
Colombia,COL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.67263381,71.78689966,67.18454989,60.08465495,62.29244855,65.7,67.9,68.3,53.4,44.6,39.5,36.8,34.8,33.2,34,32.7,34.1,31.3,32.6,27.9,26.5,,
Comoros,COM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,8.4,,,,,7.6,,
Cabo Verde,CPV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7.8,8,10.7,11.2,10.6,12.6,8.8,,
Costa Rica,CRI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.304247607,5.313324497,5.756163961,5.988379336,6.394355846,6.3,6.4,6.3,7.3,6.7,7.9,8.1,8.4,11.6,11.7,11.6,10.3,8.7,8.7,10,11.8,,
Caribbean small states,CSS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,27.4,31.5,,
Cuba,CUB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,,,,,,
Curacao,CUW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,9.6,4.9,0,7.4,12.3,,2,3.9,7.6,14.7,,,,,,,,
Cyprus,CYP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1.1,1,1.3,,
Czech Republic,CZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.705535927,1.677979937,1.816242139,1.692819924,1.67635852,1.8,1.4,1.5,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.9,0.7,0.7,,
Germany,DEU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.716110818,1.681258396,1.536573753,1.211893552,1.238742848,1.2,1.1,1.2,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9,0.8,,
Djibouti,DJI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,7.6,,,,,6.8,,
Dominica,DMA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.9,18.3,21.1,8.4,,,,,,
Denmark,DNK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146490097,1.312981986,1.667433433,0.924589534,0.977353957,1.1,0.97,1,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3,1,,
Dominican Republic,DOM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7205747,12.81228708,12.6730333,13.46598308,12.60320798,14.1,12.6,14.5,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,,17.4,,,
Algeria,DZA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,
East Asia & Pacific (excluding high income),EAP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,1.6,1.5,,
Early-demographic dividend,EAR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,6.3,6,,
East Asia & Pacific,EAS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1.5,1.4,,
Europe & Central Asia (excluding high income),ECA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,5.5,6.1,,
Europe & Central Asia,ECS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,3,3.3,,
Ecuador,ECU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,12.9,14.6,14.6,17.7,15.4,17.1,16,18,17.9,17.7,15.5,12.5,11,8.2,,,
"Egypt, Arab Rep.",EGY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.2,,,,,,
Euro area,EMU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,1,1,,
Eritrea,ERI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,8.3,,,,,7.5,,
Spain,ESP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04243724,1.004567162,1.168936524,1.313735256,1.216553843,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,,
Estonia,EST,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07491445,15.07332043,12.68539925,14.09652089,11.37712488,10.2,9.8,10.3,10.7,6.7,8.3,6.7,6.9,6.3,5.2,5.3,4.9,4.8,3.9,3.1,3.2,,
Ethiopia,ETH,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,8.5,,,,,7.6,,
European Union,EUU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,1,1,,
Fragile and conflict affected situations,FCS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,7.5,7.6,,
Finland,FIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.858372349,2.985262753,2.704671123,2.193738565,2.770246775,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.7,1.6,1.6,,
Fiji,FJI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.6,2.5,2.8,,3,,,,,
France,FRA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.309640462,2.016963507,1.652639567,1.642843498,1.622084257,1.8,1.8,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,,
Faroe Islands,FRO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,4.5,,,,,4.7,,
Gabon,GAB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,9.3,,,,,9,,
United Kingdom,GBR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.468637853,1.320754717,1.433281614,1.450116009,1.474977375,1.7,1.8,2,1.7,1.6,1.5,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9,,,
Georgia,GEO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71314365,5.408289827,5.787308493,4.996202475,5.077895753,5,5.6,6.3,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,,,,2.7,,,
Ghana,GHA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,2.1,2.2,1.8,1.9,1.8,1.9,1.8,1.7,1.7,,,,,,
Gibraltar,GIB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,9.3,,,,,8.5,,
"Gambia, The",GMB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,9.8,,,,,9.1,,
Guinea-Bissau,GNB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,10,,,,,9.2,,
